episode,greedy_reward
250558,-2064.4700
250559,-2063.9144
250560,-2065.3033
250561,-2091.1633
250562,-2141.3717
250563,-2091.9700
250564,-2065.5811
250565,-2065.3033
250566,-2063.9144
250567,-2065.0256
250568,-2066.1367
250569,-2065.8589
250570,-2064.1922
250571,-2064.7478
250572,-2142.7606
250573,-2142.4828
250574,-2111.5578
250575,-2114.3467
250576,-2114.0300
250577,-2100.9350
250578,-2126.1633
250579,-2114.0300
250580,-2065.7733
250581,-2111.9967
250582,-2065.2244
250583,-2099.9072
250584,-2065.4422
250585,-2233.7439
250586,-3149.9533
250587,-2241.5189
250588,-2065.9978
250589,-2154.3156
250590,-2152.3778
250591,-2513.9706
250592,-2067.1089
250593,-2446.8833
250594,-2066.5533
250595,-2070.1778
250596,-2101.4906
250597,-2105.9944
250598,-2084.8533
250599,-2066.1433
250600,-2117.2117
250601,-2221.4544
250602,-2066.6989
250603,-2065.5878
250604,-2116.7450
250605,-2065.5944
250606,-2066.9833
250607,-2293.8422
250608,-2257.7989
250609,-2243.6256
250610,-2079.3111
250611,-2079.6722
250612,-2067.2544
250613,-2298.6456
250614,-2256.5744
250615,-2348.4700
250616,-2158.9844
250617,-2256.6133
250618,-2078.4222
250619,-2218.0722
250620,-2088.7000
250621,-2290.1194
250622,-2302.0333
250623,-2209.0689
250624,-2394.4567
250625,-2158.4411
250626,-2161.5022
250627,-2207.8300
250628,-2211.5578
250629,-2208.9967
250630,-2208.9967
250631,-2351.1600
250632,-2240.9567
250633,-2210.4189
250634,-2232.5456
250635,-2488.6300
250636,-2211.9967
250637,-2210.3300
250638,-2211.9967
250639,-2209.9022
250640,-2212.2744
250641,-2231.4344
250642,-2295.4894
250643,-2209.9022
250644,-2210.3300
250645,-2210.3300
250646,-2115.5450
250647,-2177.8867
250648,-2212.2744
250649,-2215.8856
250650,-2365.6078
250651,-2408.6633
250652,-2363.3856
250653,-2265.8856
250654,-2212.2189
250655,-2220.3300
250656,-2083.3856
250657,-2166.3944
250658,-2396.7456
250659,-2533.1078
250660,-2270.6078
250661,-2280.7356
250662,-2090.8789
250663,-2076.1911
250664,-2074.6850
250665,-2165.8522
250666,-2229.2778
250667,-2244.2244
250668,-2308.5789
250669,-2245.8856
250670,-2071.4689
250671,-2098.9639
250672,-2164.3144
250673,-2245.8856
250674,-2206.0878
250675,-2245.8856
250676,-2245.8856
250677,-2244.2244
250678,-2246.1633
250679,-2354.1439
250680,-2243.9411
250681,-2243.9411
250682,-2345.8856
250683,-2346.9967
250684,-2375.0522
250685,-2313.9411
250686,-2306.1633
250687,-2202.2744
250688,-2360.4283
250689,-2287.2878
250690,-2292.5117
250691,-2340.0700
250692,-2088.3856
250693,-2128.3856
250694,-2128.3856
250695,-2121.4411
250696,-2123.6633
250697,-2123.3856
250698,-2125.3856
250699,-2312.2744
250700,-2202.0956
250701,-2085.0522
250702,-2176.4278
250703,-2069.2378
250704,-2127.3333
250705,-2071.4294
250706,-2066.5139
250707,-2220.6278
250708,-2125.3633
250709,-2067.5256
250710,-2126.9411
250711,-2066.1367
250712,-2065.8656
250713,-2124.3300
250714,-2064.4700
250715,-2066.6922
250716,-2071.8200
250717,-2069.7478
250718,-2068.6367
250719,-2068.0811
250720,-2065.5811
250721,-2292.2744
250722,-2121.9700
250723,-2224.2056
250724,-2118.9144
250725,-2129.7478
250726,-2128.1078
250727,-2128.9411
250728,-2066.9767
250729,-2065.3100
250730,-2066.4078
250731,-2237.5522
250732,-2177.0522
250733,-2066.1367
250734,-2097.8589
250735,-2064.8239
250736,-2113.1850
250737,-2067.7900
250738,-2067.8033
250739,-2065.5811
250740,-2065.1017
250741,-2063.7128
250742,-2066.9700
250743,-2165.8722
250744,-2285.8856
250745,-2121.4411
250746,-2086.5156
250747,-2280.6078
250748,-2123.6633
250749,-2313.9411
250750,-2421.8622
250751,-2204.3889
250752,-2327.9467
250753,-2296.1633
250754,-2186.9850
250755,-2068.0678
250756,-2068.3456
250757,-2194.3578
250758,-2274.4967
250759,-2193.6633
250760,-2194.2189
250761,-2215.6078
250762,-2434.9444
250763,-2185.6733
250764,-2309.3356
250765,-2214.7078
250766,-2204.6133
250767,-2257.2922
250768,-2066.5533
250769,-2065.7200
250770,-2194.4967
250771,-2195.3300
250772,-2195.3300
250773,-2065.7267
250774,-2079.2978
250775,-2079.2978
250776,-2173.8117
250777,-2079.2978
250778,-2198.3856
250779,-2268.9478
250780,-2068.0878
250781,-2083.9867
250782,-2081.3611
250783,-2140.3233
250784,-2071.4906
250785,-2091.4411
250786,-2116.3783
250787,-2066.7683
250788,-2077.1661
250789,-2065.3100
250790,-2076.2889
250791,-2294.4583
250792,-2294.3822
250793,-2127.8300
250794,-2064.8239
250795,-2207.8994
250796,-2242.2811
250797,-2064.7478
250798,-2065.8789
